baseline,seed_count,capsule_recall@k_mean,capsule_recall@k_std,capsule_recall@k_min,capsule_recall@k_max,capsule_recall@k_ci95_low,capsule_recall@k_ci95_high,subgraph_relevance_mean,subgraph_relevance_std,subgraph_relevance_min,subgraph_relevance_max,subgraph_relevance_ci95_low,subgraph_relevance_ci95_high,relation_hit_rate_mean,relation_hit_rate_std,relation_hit_rate_min,relation_hit_rate_max,relation_hit_rate_ci95_low,relation_hit_rate_ci95_high,returned_memory_usefulness_mean,returned_memory_usefulness_std,returned_memory_usefulness_min,returned_memory_usefulness_max,returned_memory_usefulness_ci95_low,returned_memory_usefulness_ci95_high,stale_node_injection_rate_mean,stale_node_injection_rate_std,stale_node_injection_rate_min,stale_node_injection_rate_max,stale_node_injection_rate_ci95_low,stale_node_injection_rate_ci95_high,conflict_resolution_success_mean,conflict_resolution_success_std,conflict_resolution_success_min,conflict_resolution_success_max,conflict_resolution_success_ci95_low,conflict_resolution_success_ci95_high,latency_ms_mean,latency_ms_std,latency_ms_min,latency_ms_max,latency_ms_ci95_low,latency_ms_ci95_high,avg_returned_nodes_mean,avg_returned_nodes_std,avg_returned_nodes_min,avg_returned_nodes_max,avg_returned_nodes_ci95_low,avg_returned_nodes_ci95_high,avg_raw_returned_nodes_mean,avg_raw_returned_nodes_std,avg_raw_returned_nodes_min,avg_raw_returned_nodes_max,avg_raw_returned_nodes_ci95_low,avg_raw_returned_nodes_ci95_high,avg_returned_edges_mean,avg_returned_edges_std,avg_returned_edges_min,avg_returned_edges_max,avg_returned_edges_ci95_low,avg_returned_edges_ci95_high
no_long_term_memory,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0003,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vector_memory,3,0.1111,0.1039,0.0,0.25,0.0,0.25,0.0926,0.0524,0.0556,0.1667,0.0556,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0871,0.0567,0.0389,0.1667,0.0445,0.1667,0.1482,0.0693,0.0556,0.2222,0.0556,0.2037,0.3333,0.2722,0.0,0.6667,0.0,0.5556,1.8794,0.2439,1.5597,2.1515,1.5597,2.0767,6.0,0.0,6.0,6.0,6.0,6.0,12.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_summary_memory,3,1.0,0.0,1.0,1.0,1.0,1.0,0.8333,0.0,0.8333,0.8333,0.8333,0.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.8145,0.157,1.6378,2.0193,1.6378,2.0193,6.0,0.0,6.0,6.0,6.0,6.0,12.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
naive_graph_memory,3,0.1667,0.0681,0.0833,0.25,0.0833,0.25,0.1111,0.0454,0.0556,0.1667,0.0556,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0454,0.0556,0.1667,0.0556,0.1667,0.4815,0.0262,0.4444,0.5,0.4444,0.5,0.6667,0.2722,0.3333,1.0,0.3333,1.0,8.0107,0.4221,7.415,8.3416,7.415,8.3416,6.0,0.0,6.0,6.0,6.0,6.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0
clarks_nutcracker_graph,3,0.6945,0.0393,0.6667,0.75,0.6667,0.7222,0.5,0.0454,0.4444,0.5556,0.4444,0.5371,0.034,0.0044,0.0278,0.0371,0.0278,0.0371,0.4935,0.0454,0.4389,0.55,0.4389,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,15.1317,1.4238,13.6295,17.044,13.9936,17.044,5.6667,0.4714,5.0,6.0,5.0,6.0,11.0,1.4142,9.0,12.0,9.0,12.0,11.0,1.4142,9.0,12.0,9.0,12.0
