index,key,status,file_type,saved_as,source_url,note
30,touvron2023llama2,txt_note,txt,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\030_touvron2023llama2.txt,https://ai.meta.com/research/publications/llama-2-open-foundation-and-fine-tuned-chat-models/,no_public_pdf_or_paywalled
31,vaswani2017attention,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\031_vaswani2017attention.pdf,https://proceedings.neurips.cc/paper/2017/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html,ok
32,wang2024survey,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\032_wang2024survey.pdf,https://doi.org/10.1007/s11704-024-40231-1,ok
33,wang2024sotopiapi,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\033_wang2024sotopiapi.pdf,https://aclanthology.org/2024.acl-long.698/,ok
34,wang2025megaagent,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\034_wang2025megaagent.pdf,https://aclanthology.org/2025.findings-acl.259/,ok
35,wooldridge2009,html_fallback,html,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\035_wooldridge2009.html,https://www.cs.ox.ac.uk/people/michael.wooldridge/pubs/imas/IMAS2e.html,no_public_pdf_or_site_protection
36,wu2023autogen,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\036_wu2023autogen.pdf,https://openreview.net/forum?id=BAakY1hNKS,ok
37,zhao2026ragaigc,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\037_zhao2026ragaigc.pdf,https://doi.org/10.1007/s41019-025-00335-5,ok
38,yao2023react,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\038_yao2023react.pdf,https://openreview.net/forum?id=WE_vluYUL-X,ok
39,zhong2023memorybank,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\039_zhong2023memorybank.pdf,https://doi.org/10.1609/aaai.v38i17.29946,ok
40,zhou2024sotopia,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\040_zhou2024sotopia.pdf,https://openreview.net/forum?id=mM7VurbA4r,ok
