baseline,seed_count,capsule_recall@k_mean,capsule_recall@k_std,capsule_recall@k_min,capsule_recall@k_max,capsule_recall@k_ci95_low,capsule_recall@k_ci95_high,subgraph_relevance_mean,subgraph_relevance_std,subgraph_relevance_min,subgraph_relevance_max,subgraph_relevance_ci95_low,subgraph_relevance_ci95_high,relation_hit_rate_mean,relation_hit_rate_std,relation_hit_rate_min,relation_hit_rate_max,relation_hit_rate_ci95_low,relation_hit_rate_ci95_high,returned_memory_usefulness_mean,returned_memory_usefulness_std,returned_memory_usefulness_min,returned_memory_usefulness_max,returned_memory_usefulness_ci95_low,returned_memory_usefulness_ci95_high,stale_node_injection_rate_mean,stale_node_injection_rate_std,stale_node_injection_rate_min,stale_node_injection_rate_max,stale_node_injection_rate_ci95_low,stale_node_injection_rate_ci95_high,conflict_resolution_success_mean,conflict_resolution_success_std,conflict_resolution_success_min,conflict_resolution_success_max,conflict_resolution_success_ci95_low,conflict_resolution_success_ci95_high,latency_ms_mean,latency_ms_std,latency_ms_min,latency_ms_max,latency_ms_ci95_low,latency_ms_ci95_high,avg_returned_nodes_mean,avg_returned_nodes_std,avg_returned_nodes_min,avg_returned_nodes_max,avg_returned_nodes_ci95_low,avg_returned_nodes_ci95_high,avg_raw_returned_nodes_mean,avg_raw_returned_nodes_std,avg_raw_returned_nodes_min,avg_raw_returned_nodes_max,avg_raw_returned_nodes_ci95_low,avg_raw_returned_nodes_ci95_high,avg_returned_edges_mean,avg_returned_edges_std,avg_returned_edges_min,avg_returned_edges_max,avg_returned_edges_ci95_low,avg_returned_edges_ci95_high
no_long_term_memory,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vector_memory,5,0.1458,0.0456,0.0833,0.2083,0.1042,0.1833,0.1111,0.0176,0.0833,0.1389,0.0944,0.1278,0.0,0.0,0.0,0.0,0.0,0.0,0.1057,0.0201,0.0792,0.1389,0.09,0.1214,0.1695,0.0397,0.1111,0.2361,0.1361,0.2083,0.4833,0.1929,0.1667,0.75,0.3167,0.65,2.3488,0.3337,1.7092,2.6579,2.0298,2.5846,6.0,0.0,6.0,6.0,6.0,6.0,12.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_summary_memory,5,1.0,0.0,1.0,1.0,1.0,1.0,0.8333,0.0,0.8333,0.8333,0.8333,0.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.5694,0.4389,1.7488,2.9976,2.1066,2.89,6.0,0.0,6.0,6.0,6.0,6.0,12.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
naive_graph_memory,5,0.325,0.0429,0.25,0.375,0.2875,0.3583,0.2167,0.0286,0.1667,0.25,0.1889,0.2389,0.0069,0.0029,0.0023,0.0116,0.0041,0.0097,0.2164,0.0284,0.1667,0.25,0.1917,0.2383,0.3972,0.0453,0.3194,0.4444,0.3555,0.4333,0.9,0.0817,0.75,1.0,0.8167,0.9667,10.0294,1.1986,7.7985,11.4071,8.8399,10.9718,6.0,0.0,6.0,6.0,6.0,6.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0
clarks_nutcracker_graph,5,0.6417,0.0306,0.6042,0.6875,0.6167,0.6708,0.4388,0.0226,0.4166,0.4722,0.4194,0.4583,0.0352,0.0054,0.0278,0.044,0.031,0.0399,0.4332,0.022,0.4111,0.466,0.4143,0.4521,0.0,0.0,0.0,0.0,0.0,0.0,0.9833,0.0333,0.9167,1.0,0.95,1.0,19.314,2.43,15.115,22.7185,16.9177,21.4137,5.9,0.1225,5.75,6.0,5.8,6.0,11.7,0.3674,11.25,12.0,11.4,12.0,11.7,0.3674,11.25,12.0,11.4,12.0
